believe,信じる
consider,考慮する
expect,期待する
decide,決める
allow,許す
remember,覚えている
worry,心配する
concern,心配する
suggest,提案する
explain,説明する
describe,描写する
improve,改善する
produce,生産する
create,創造する
provide,提供する
increase,増える
grow,成長する
develop,開発する
rise,上がる
raise,上げる
follow,次に続く
require,要求する
fill,満たす
support,支持する
share,共有する
face,直面する
touch,触れる
store,蓄える
pay,支払う
deal,対処する
save,節約する
happen,起こる
occur,起こる
work,働く
change,変える
run,走る
turn,回る
return,戻る
stand,我慢する
lie,横たわる
brain,脳
mind,心
language,言語
thought,考え / that節）
knowledge,知識
skill,技術
technology,科学技術
culture,文化
experience,経験
result,結果
reason,理由
cause,原因
effect,効果
matter,問題
sense,感覚
way,方法
term,期間
situation,状況
condition,状況
position,位置
environment,環境
nature,自然
research,研究
rule,規則
interest,興味
value,価値
view,意見
sound,音
form,形状
case,場合
role,役割
age,年齢
care,世話
risk,危険
human,人間の
free,自由な
sure,確信して
certain,確信して
main,主要な
major,主要な
minor,重要でない
clear,明らかな
likely,ありそうな
possible,あり得る
similar,似ている
close,近い
common,共通の
general,一般的な
ordinary,普通の
specific,明確な
particular,特別の
individual,個人の
unique,特有の
rare,珍しい
therefore,したがって
thus,したがって
moreover,さらに
furthermore,その上
besides,その上
nonetheless,それにもかかわらず
notice,気づく
note,注意する
discover,発見する
realize,気づく
recognize,認識する
encourage,励ます
force,強いる
order,命じる
affect,影響を与える
offer,提供する
demand,要求する
argue,主張する
claim,主張する
object,反対する
challenge,異議を唱える
involve,巻き込む
include,含む
contain,含む
relate,関連づける
connect,つなぐ
refer,言及する
contact,連絡する
compare,比較する
measure,測る
mark,つける
approach,近づく
reach,到達する
achieve,達成する
receive,受け取る
complete,完了する
lead,導く
win,勝つ
lose,失う
fail,失敗する
miss,逃す
lack,欠ける
reduce,減らす
avoid,避ける
limit,制限する
prevent,防ぐ
wear,身に着けている
bear,耐える
focus,集中する
author,著者
professor,教授
sentence,文
passage,通路
message,伝言
statement,陳述
topic,論題
article,記事
issue,問題
theory,理論
evidence,証拠
experiment,実験
subject,主題
government,政府
policy,政策
education,教育
company,会社
colleague,同僚
industry,産業
trade,貿易
economy,経済
customer,顧客
benefit,利益
figure,図
rate,比率
chance,見込み
opportunity,機会
project,事業
practice,練習
effort,努力
quality,質
quantity,量
amount,金額
scientific,科学の
political,政治の
social,社会の
official,公式の
financial,財政の
expensive,高価な（⇔ inexpensive
various,さまざまな
normal,普通の
familiar,よく知っている
appropriate,適切な
necessary,必要な
correct,正しい
available,利用できる
